100,1.08,-0.12
110,0.98,-0.08
121,1.22,-0.10
133,0.98,-0.10
146,1.08,-0.08
161,1.04,-0.10
177,1.00,-0.08
195,1.09,-0.09
215,1.03,-0.09
237,1.05,-0.09
261,1.02,-0.07
287,1.04,-0.07
316,1.08,-0.07
348,0.98,-0.07
383,0.98,-0.11
421,1.05,-0.03
463,1.05,-0.06
509,0.98,-0.02
560,1.04,-0.05
616,1.10,-0.07
678,0.97,-0.08
746,0.99,-0.10
821,1.10,-0.07
903,1.05,-0.03
993,0.98,-0.01
1092,1.06,-0.05
1201,1.08,-0.03
1321,0.91,-0.01
1453,0.97,-0.01
1598,1.08,-0.00
1758,1.05,0.01
1934,0.96,0.03
2127,1.01,-0.01
2340,1.07,0.05
2574,1.05,0.05
2831,0.98,0.10
3114,1.04,0.06
3425,1.05,0.11
3768,1.01,0.10
4145,1.01,0.13
4560,1.16,0.16
5016,1.08,0.10
5518,0.99,0.09
6070,1.00,0.12
6677,1.02,0.08
7345,1.06,0.08
8080,1.21,0.09
8888,1.07,0.04
9777,1.21,0.08
10755,1.12,0.10
11831,1.01,0.20
13014,1.21,0.12
14315,1.29,0.07
15747,0.98,0.11
17322,1.05,0.14
19054,1.13,0.10
20959,1.06,0.10
23055,0.99,0.09
25361,0.98,0.12
27897,1.12,0.09
30687,1.07,0.08
33756,1.11,0.11
37132,1.25,0.14
40845,1.40,0.10
44930,1.48,0.12
49423,1.57,0.07
54365,1.66,0.05
59802,1.83,0.10
65782,1.96,0.09
72360,1.90,0.10
79596,2.03,0.09
87556,2.13,0.11
96312,2.08,0.08
105943,2.19,0.09
116537,2.27,0.09
128191,2.21,0.06
141010,2.36,0.08
155111,2.30,0.10
170622,2.38,0.07
187684,2.48,0.08
206452,2.36,0.13
227097,2.46,0.08
249807,2.52,0.10
274788,2.61,0.03
302267,2.85,0.08
332494,3.12,0.10
365743,3.53,0.08
402317,3.69,0.10
442549,4.08,0.08
486804,4.43,0.13
535484,4.69,0.12
589032,5.02,0.05
647935,5.52,0.07
712729,5.99,0.06
784002,6.44,0.06
862402,6.91,0.02
948642,7.67,0.10
1043506,7.79,0.03
1147857,8.15,0.03
1262643,8.42,0.02
1388907,8.82,0.03
1527798,9.14,0.00
1680578,9.22,0.01
1848636,9.43,0.04
2033500,9.64,-0.00
2236850,9.90,0.02
2460535,10.10,-0.01
2706589,10.21,0.05
2977248,10.38,-0.03
3274973,10.57,-0.00
3602471,10.67,0.01
3962718,10.82,0.01
4358990,10.84,0.00
4794889,10.87,-0.01
5274378,10.97,-0.01
5801816,12.88,-0.01
6381998,11.43,-0.00
7020198,11.67,0.00
7722218,11.87,0.02
8494440,11.68,0.05
9343884,12.68,-0.00
10278273,14.44,0.04
11306101,13.45,-0.04
12436711,14.61,0.04
13680382,17.69,0.01
15048421,19.71,0.04
16553263,26.33,-0.02
18208590,34.12,0.01
20029450,38.94,0.01
22032396,45.88,0.01
24235636,49.52,0.02
26659200,56.58,0.04
29325120,60.07,-0.01
32257632,66.48,-0.02
35483396,68.69,0.05
39031736,74.21,0.03
42934912,76.85,0.06
47228404,79.89,0.02
51951244,83.10,0.05
57146368,85.70,0.04
62861008,88.40,0.04
69147112,90.22,0.02
76061824,92.39,0.03
83668008,94.51,0.02
92034808,96.53,0.03
101238288,97.89,0.02
111362120,98.96,0.02
122498336,100.81,-0.02
134748176,101.41,0.05
148222992,102.79,0.07
163045296,104.26,-0.00
179349824,105.59,0.04
197284816,105.69,0.03
217013296,107.00,0.01
238714624,108.25,0.04
262586096,108.68,0.05
288844704,109.51,0.06
317729184,110.15,0.04
349502112,110.51,0.03
384452320,111.40,0.01
422897568,112.47,-0.02
465187328,113.36,0.04
511706080,112.41,-0.15
562876672,115.04,0.04
619164352,113.63,0.02
681080832,113.30,0.02
749188928,114.49,0.02
824107840,114.36,0.03
906518656,116.95,0.04
997170560,116.18,0.02
1096887680,115.99,0.02
1206576512,116.68,0.01
1327234176,118.18,0.03
1459957632,118.87,0.01
1605953408,119.25,0.03
1766548736,120.19,0.02
1943203712,121.95,0.03
2137524096,121.94,0.01
2351276544,125.73,0.01
2586404352,130.40,0.05
2845044736,126.90,0.02
3129549312,129.27,0.00
3442504192,132.50,0.02
3786754816,137.32,0.02
4165430272,142.16,0.01
4581973504,147.48,0.02
5040171008,149.70,0.02
5544188416,156.63,0.03